Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Month_Name,Quarter,Hierarchical_Cluster,PCA1,PCA2
SC-10015,2024-04-05,Antwerp,Marseille,Rail,Perishables,3159.37,106.66,1.25,8.5,Hurricane,0.95,25.5,1,2024,4,April,2,3,0.0015765923585008468,-1.425346151048526
SC-10016,2024-08-11,Los Angeles,Busan,Road,Perishables,4911.51,21.71,1.22,5.1,Clear,0.871,3.76,0,2024,8,August,3,2,-0.879047882308548,-0.7842583627154569
SC-10017,2024-08-26,Shanghai,Busan,Air,Textiles,8108.97,161.71,1.99,7.1,Storm,0.986,1.83,1,2024,8,August,3,0,-0.37366150493840306,-1.2175451451578567
SC-10018,2025-06-01,Busan,Rotterdam,Air,Automotive,6763.2,280.31,1.53,1.9,Fog,0.8,0.5,0,2025,6,June,2,0,-0.9571305092490044,-1.1612837760804346
SC-10019,2025-09-08,Busan,Dubai,Rail,Electronics,4722.82,429.11,2.06,6.9,Fog,0.621,7.6,0,2025,9,September,3,2,-0.6214663532818923,-0.6862579514027599
SC-10020,2024-01-28,Busan,Antwerp,Air,Perishables,9371.87,333.8,1.78,2.7,Rain,0.664,0.5,0,2024,1,January,1,2,-0.4580358684445137,-0.645551333942468
SC-10021,2025-07-28,Shanghai,Antwerp,Rail,Textiles,2522.66,218.26,1.29,8.3,Storm,0.66,6.61,1,2025,7,July,3,0,-0.8901471460161594,-0.6432753077938539
SC-10022,2024-07-22,Busan,Rotterdam,Rail,Textiles,4736.1,476.61,4.2,0.8,Rain,0.663,4.54,1,2024,7,July,3,1,-1.2706228728992912,0.5054763246760601
SC-10023,2025-10-27,Busan,Shanghai,Air,Perishables,5812.25,359.9,1.23,7.7,Hurricane,0.836,3.3,1,2025,10,October,4,0,-0.5926146305180255,-1.8561368749874458
SC-10024,2025-12-19,Dubai,Shanghai,Road,Perishables,7113.01,465.15,3.63,1.0,Clear,0.765,4.29,0,2025,12,December,4,1,-0.8820836962473232,-0.2372397064553191
SC-10025,2025-07-12,Shanghai,Singapore,Air,Electronics,11885.05,264.27,1.7,8.8,Hurricane,0.693,6.86,1,2025,7,July,3,2,0.6541083044684378,-0.6323353188358413
SC-10026,2025-03-05,Busan,Rotterdam,Sea,Textiles,3395.27,130.19,4.21,3.0,Fog,0.575,9.09,0,2025,3,March,1,1,-1.0882905809473824,2.0466319288041968
SC-10027,2024-08-13,Singapore,Rotterdam,Rail,Electronics,7956.4,27.36,4.15,6.5,Fog,0.511,11.18,0,2024,8,August,3,4,0.014471771267528943,2.593684814871298
SC-10028,2025-04-04,Shanghai,Dubai,Air,Textiles,9090.01,363.32,3.36,4.9,Storm,0.609,2.04,1,2025,4,April,2,2,-0.334371508105916,0.5142666156857744
SC-10029,2025-08-26,Antwerp,Singapore,Air,Textiles,1173.53,61.53,3.42,3.7,Clear,0.554,0.5,0,2025,8,August,3,2,-1.740232384065555,1.822234520531441
SC-10030,2024-10-11,Antwerp,Los Angeles,Rail,Perishables,9309.4,152.08,1.22,6.5,Storm,0.893,25.79,0,2024,10,October,4,3,0.890294899158205,-1.3394757532703776
SC-10031,2024-01-07,Singapore,Marseille,Air,Automotive,2972.6,266.7,4.45,9.5,Fog,0.556,1.04,1,2024,1,January,1,2,-1.0801734919606532,1.7325143957677298
SC-10032,2024-06-12,Singapore,Dubai,Road,Perishables,1443.25,282.64,4.1,0.4,Storm,0.862,2.5,1,2024,6,June,2,1,-1.953257980462041,0.33234932176346027
SC-10033,2025-12-15,Shanghai,Antwerp,Rail,Automotive,14258.84,300.69,4.15,9.2,Rain,0.693,16.61,1,2025,12,December,4,1,1.4016431639935176,0.9037737499115197
SC-10034,2025-03-08,Hamburg,Singapore,Air,Textiles,14501.66,83.96,3.38,6.1,Rain,0.537,1.62,0,2025,3,March,1,4,0.6509356874316349,1.7978604219352692
SC-10035,2024-12-14,Los Angeles,Antwerp,Road,Automotive,12221.76,190.49,2.34,8.1,Fog,0.906,15.57,0,2024,12,December,4,0,0.9751926493750915,-0.7696764878224187
SC-10036,2024-10-11,Busan,Marseille,Road,Textiles,4916.9,308.98,4.15,3.8,Hurricane,0.79,27.96,1,2024,10,October,4,3,-0.016470833182828867,0.5201014173104989
SC-10037,2024-06-08,Dubai,Hamburg,Rail,Textiles,1916.25,484.94,2.16,4.7,Storm,0.618,5.17,1,2024,6,June,2,2,-1.3453260392253064,-0.7862122478966457
SC-10038,2024-08-08,Dubai,Hamburg,Road,Automotive,10421.38,364.09,3.06,8.7,Rain,0.947,10.49,1,2024,8,August,3,0,0.4474711925519372,-1.0631226320118705
SC-10039,2024-12-10,Singapore,Busan,Rail,Perishables,6882.21,461.38,1.53,4.1,Storm,0.523,17.32,1,2024,12,December,4,2,0.007714344256963062,-0.7398015781536487
SC-10040,2024-04-14,Los Angeles,Shanghai,Air,Automotive,2269.55,381.34,4.24,5.3,Fog,0.601,0.5,1,2024,4,April,2,1,-1.5198925500763283,1.0547054660076076
SC-10041,2024-04-04,Busan,Antwerp,Rail,Electronics,7680.07,296.27,1.66,0.2,Storm,0.876,15.87,1,2024,4,April,2,0,-0.2713121312869536,-1.4115981013990218
SC-10042,2025-01-24,Dubai,Los Angeles,Sea,Textiles,998.63,96.82,1.94,1.6,Fog,0.855,2.84,0,2025,1,January,1,0,-1.828442997189916,-0.469064559691734
SC-10043,2024-04-09,Busan,Rotterdam,Rail,Pharmaceuticals,13685.15,333.68,3.04,6.4,Fog,0.645,18.12,0,2024,4,April,2,3,1.2333661351172758,0.25131022580917334
SC-10044,2025-01-02,Dubai,Rotterdam,Sea,Textiles,4252.31,312.07,3.72,7.2,Storm,0.531,25.25,1,2025,1,January,1,3,0.06833210207371283,1.1961238915516632
SC-10045,2024-12-18,Busan,Los Angeles,Road,Textiles,10106.57,301.63,3.24,5.8,Rain,0.929,9.76,1,2024,12,December,4,1,0.16661601364503198,-0.6183113061154288
SC-10046,2025-09-10,Shanghai,Hamburg,Road,Automotive,5019.81,245.4,1.97,1.4,Storm,0.657,8.72,1,2025,9,September,3,2,-0.8929218960893218,-0.18006468583028473
SC-10047,2024-09-27,Shanghai,Marseille,Sea,Electronics,8040.99,264.8,1.2,4.5,Rain,0.598,16.27,1,2024,9,September,3,2,0.18834296357348804,-0.5676597453456064
SC-10048,2024-02-14,Los Angeles,Hamburg,Sea,Perishables,8427.3,167.89,3.7,3.6,Hurricane,0.758,49.853750000000005,1,2024,2,February,1,3,1.5440867566723324,0.8419372750890992
SC-10049,2025-04-15,Singapore,Los Angeles,Air,Perishables,3180.39,260.14,4.45,5.0,Hurricane,0.955,1.85,1,2025,4,April,2,1,-1.4158453246856402,0.23761262441569447
SC-10050,2025-07-03,Dubai,Antwerp,Rail,Pharmaceuticals,14558.98,99.58,3.87,8.7,Fog,0.522,21.27,0,2025,7,July,3,3,1.6896989559851838,2.0984896604354173
SC-10051,2024-05-07,Dubai,Los Angeles,Road,Automotive,11739.43,402.78,2.72,7.8,Rain,0.883,11.65,0,2024,5,May,2,0,0.6768133457698051,-1.1647472313740252
SC-10052,2025-01-22,Hamburg,Busan,Road,Perishables,14122.73,93.7,4.18,0.8,Hurricane,0.786,49.853750000000005,1,2025,1,January,1,3,2.260425038771228,1.3686839130259751
SC-10053,2024-03-21,Dubai,Shanghai,Rail,Textiles,13475.0,43.4,2.55,8.9,Hurricane,0.713,49.853750000000005,1,2024,3,March,1,3,2.797027506998191,0.631862390544175
SC-10054,2025-07-19,Shanghai,Rotterdam,Road,Automotive,9169.55,218.69,2.93,4.7,Storm,0.872,19.8,1,2025,7,July,3,1,0.4132535493473646,-0.30726345775531344
SC-10055,2024-10-27,Singapore,Los Angeles,Air,Pharmaceuticals,13867.18,329.5,2.77,7.4,Rain,0.983,1.65,1,2024,10,October,4,1,0.5349536557232911,-1.2511830056231672
SC-10056,2025-10-05,Rotterdam,Marseille,Rail,Perishables,1783.14,219.42,2.68,1.4,Rain,0.615,0.74,0,2025,10,October,4,2,-1.7876440610474504,0.5516527122394637
SC-10057,2025-09-25,Busan,Los Angeles,Sea,Textiles,3341.75,139.1,3.76,6.7,Storm,0.572,18.83,0,2025,9,September,3,2,-0.3951930517188782,1.6758573042922678
SC-10058,2025-01-05,Rotterdam,Shanghai,Road,Textiles,1155.8,279.53,2.94,2.4,Rain,0.956,1.32,0,2025,1,January,1,0,-1.8921474895581065,-0.8375947613799765
SC-10059,2025-08-14,Antwerp,Rotterdam,Road,Textiles,5217.29,174.15,2.25,4.4,Fog,0.834,5.57,0,2025,8,August,3,2,-0.8405438714131066,-0.467089269713192
SC-10060,2024-07-15,Shanghai,Antwerp,Sea,Electronics,6135.82,466.5,2.05,0.2,Fog,0.719,12.92,0,2024,7,July,3,2,-0.6441612327255349,-1.132039682391309
SC-10061,2025-12-22,Hamburg,Singapore,Road,Perishables,4434.56,461.4,1.32,1.5,Hurricane,0.787,23.3,1,2025,12,December,4,0,-0.36192302637833434,-1.9014259489902559
SC-10062,2024-03-12,Los Angeles,Hamburg,Road,Automotive,12516.69,251.68,3.12,0.9,Rain,0.873,9.0,0,2024,3,March,1,1,0.2104980695617126,-0.24076692731422458
SC-10063,2024-02-16,Los Angeles,Marseille,Road,Textiles,5672.92,164.61,1.96,2.4,Storm,0.887,11.04,0,2024,2,February,1,0,-0.6635716168956554,-0.8170538406097013
SC-10064,2025-11-08,Shanghai,Rotterdam,Rail,Textiles,4573.55,368.83,1.69,1.0,Clear,0.96,3.09,0,2025,11,November,4,0,-1.3135101549880983,-1.9910098013829298
SC-10065,2024-08-21,Antwerp,Marseille,Sea,Electronics,8369.09,19.32,3.36,6.9,Storm,0.713,47.52,1,2024,8,August,3,3,1.6948112910169268,1.2741823847879938
SC-10066,2024-10-23,Los Angeles,Singapore,Air,Automotive,2543.4,237.91,3.45,0.3,Fog,0.647,0.85,0,2024,10,October,4,1,-1.7733935174507751,0.8987463031236493
SC-10067,2024-03-22,Busan,Los Angeles,Air,Automotive,12131.86,168.83,3.68,6.2,Clear,0.82,0.5,0,2024,3,March,1,4,0.13580207864175195,0.5819717455105269
SC-10068,2024-08-26,Los Angeles,Shanghai,Sea,Automotive,1580.98,460.35,2.86,1.4,Rain,0.708,3.32,1,2024,8,August,3,1,-1.755437623135455,-0.5411510679227475
SC-10069,2024-04-13,Dubai,Singapore,Rail,Electronics,14809.86,6.99,4.15,9.5,Fog,0.797,23.13,0,2024,4,April,2,1,1.7984156051344868,1.5242746555874624
SC-10070,2025-01-24,Shanghai,Antwerp,Sea,Textiles,11697.55,276.85,4.29,9.3,Fog,0.71,36.52,1,2025,1,January,1,3,1.8617378558733422,0.9993266656941335
SC-10071,2024-10-11,Antwerp,Marseille,Sea,Pharmaceuticals,3381.38,370.59,3.86,2.3,Rain,0.576,6.46,0,2024,10,October,4,1,-1.26094029188207,0.9677277654909694
SC-10072,2025-04-09,Singapore,Hamburg,Sea,Textiles,580.07,243.02,3.3,6.1,Hurricane,0.735,8.4,1,2025,4,April,2,1,-1.376627636182105,0.3584568931308167
SC-10073,2025-10-12,Shanghai,Los Angeles,Rail,Perishables,12324.19,43.62,2.2,0.3,Rain,0.845,10.99,0,2025,10,October,4,0,0.28439174809578366,-0.018270550107877395
SC-10074,2025-01-08,Busan,Los Angeles,Sea,Electronics,10749.43,486.26,4.44,9.3,Storm,0.9,49.853750000000005,1,2025,1,January,1,3,2.227109608756211,-0.3907312945685038
SC-10075,2024-06-15,Busan,Dubai,Rail,Automotive,11070.6,259.49,2.1,5.2,Storm,0.747,30.22,1,2024,6,June,2,0,1.275850245128359,-0.5267426448205516
SC-10076,2025-01-14,Rotterdam,Antwerp,Air,Pharmaceuticals,11683.42,307.48,1.87,0.4,Rain,0.583,1.23,0,2025,1,January,1,4,-0.18935659467605215,-0.14028771814368401
SC-10077,2024-12-29,Busan,Marseille,Sea,Electronics,1573.65,119.07,2.66,3.4,Storm,0.707,7.76,1,2024,12,December,4,2,-1.3875976922550943,0.5036280959249443
SC-10078,2024-08-02,Singapore,Marseille,Road,Electronics,5697.75,242.27,1.39,0.8,Fog,0.893,4.7,0,2024,8,August,3,0,-1.035206396843104,-1.4808187859356734
SC-10079,2025-11-17,Singapore,Antwerp,Air,Pharmaceuticals,2180.1,215.15,4.43,3.9,Hurricane,0.706,0.8,1,2025,11,November,4,1,-1.6368132586262738,1.3710941364112916
SC-10080,2024-09-30,Antwerp,Singapore,Sea,Perishables,13015.0,38.37,3.14,6.7,Storm,0.848,49.853750000000005,1,2024,9,September,3,3,2.5158115321567336,0.5429237767295318
SC-10081,2025-12-19,Busan,Hamburg,Sea,Pharmaceuticals,9537.82,53.97,3.04,4.7,Hurricane,0.754,49.853750000000005,1,2025,12,December,4,3,1.83637925809977,0.8011954822222825
SC-10082,2025-11-30,Rotterdam,Shanghai,Sea,Perishables,5298.02,418.9,3.36,3.8,Fog,0.621,13.62,1,2025,11,November,4,1,-0.5248240050805842,0.26755883506576156
SC-10083,2025-10-25,Rotterdam,Hamburg,Sea,Electronics,1421.6,120.67,2.84,1.2,Rain,0.898,2.51,0,2025,10,October,4,0,-1.848429893472293,-0.10453987040584671
SC-10084,2024-03-14,Rotterdam,Dubai,Rail,Perishables,5009.24,98.28,1.31,2.4,Hurricane,0.542,31.75,1,2024,3,March,1,2,0.25495227156950256,0.3215639005525971
SC-10085,2025-09-15,Shanghai,Hamburg,Rail,Perishables,5215.16,252.95,3.22,1.0,Clear,0.762,3.97,1,2025,9,September,3,1,-1.1720090457960661,0.236757584528415
SC-10086,2025-10-12,Antwerp,Dubai,Rail,Automotive,11079.29,384.6,3.56,8.1,Fog,0.604,16.0,0,2025,10,October,4,4,0.8179424085055992,0.5600757913001393
SC-10087,2024-06-24,Dubai,Antwerp,Road,Textiles,9744.58,31.91,2.58,1.4,Clear,0.534,6.24,0,2024,6,June,2,4,-0.20884290089557098,1.4853010073228177
SC-10088,2025-06-30,Antwerp,Los Angeles,Air,Textiles,13364.58,288.83,3.7,6.0,Fog,0.751,1.59,1,2025,6,June,2,4,0.37718998746422877,0.4503886463042094
SC-10089,2024-09-07,Antwerp,Dubai,Air,Electronics,7347.12,60.49,1.95,3.4,Hurricane,0.75,3.66,1,2024,9,September,3,2,-0.6056515546552314,0.07806037890542508
SC-10090,2024-06-16,Los Angeles,Singapore,Air,Electronics,2234.12,19.19,1.93,2.3,Rain,0.853,0.5,1,2024,6,June,2,0,-1.6749305017301508,-0.19791462980494243
SC-10091,2025-04-18,Hamburg,Rotterdam,Rail,Textiles,10842.05,27.32,1.73,6.4,Storm,0.872,29.43,1,2025,4,April,2,3,1.28930488480044,-0.466670875161494
SC-10092,2025-01-23,Antwerp,Singapore,Rail,Pharmaceuticals,11531.38,417.25,2.43,4.6,Hurricane,0.864,49.853750000000005,1,2025,1,January,1,3,2.1222310983483177,-1.3167713377248702
SC-10093,2024-10-03,Dubai,Singapore,Air,Automotive,8638.52,59.87,4.0,4.0,Fog,0.705,1.94,1,2024,10,October,4,2,-0.49758478454498556,1.648208482299435
SC-10094,2025-10-17,Hamburg,Singapore,Air,Textiles,11679.02,23.53,3.93,5.9,Hurricane,0.816,6.92,1,2025,10,October,4,4,0.3275709045263694,1.2784472229717163
SC-10095,2025-12-05,Busan,Dubai,Sea,Automotive,7660.04,219.51,2.46,4.9,Rain,0.788,15.17,1,2025,12,December,4,1,0.01489020275190164,-0.3045408464260048
SC-10096,2025-07-24,Rotterdam,Los Angeles,Rail,Automotive,8079.63,422.15,3.14,3.0,Hurricane,0.711,49.853750000000005,1,2025,7,July,3,3,1.4584081119112584,-0.2428444619421374
SC-10097,2024-08-12,Rotterdam,Hamburg,Air,Textiles,6699.34,131.94,3.58,5.6,Hurricane,0.799,3.61,1,2024,8,August,3,1,-0.6420439146032685,0.7147665549047542
SC-10098,2025-12-02,Antwerp,Busan,Air,Electronics,868.58,211.43,2.0,6.7,Hurricane,0.974,0.93,1,2025,12,December,4,0,-1.6226805312576005,-1.3566769544862018
SC-10099,2024-11-28,Hamburg,Marseille,Road,Pharmaceuticals,2064.43,20.92,1.75,0.3,Clear,0.596,0.99,0,2024,11,November,4,2,-1.750262392192981,0.7060993105630797
SC-10100,2024-02-27,Dubai,Shanghai,Air,Electronics,955.72,225.09,4.41,4.7,Fog,0.953,0.6,0,2024,2,February,1,1,-1.8494556106688613,0.33841006428339654
SC-10101,2024-08-22,Los Angeles,Antwerp,Sea,Textiles,9727.95,289.23,3.24,0.6,Clear,0.527,13.93,1,2024,8,August,3,2,0.028159293215895203,1.0619382828989603
SC-10102,2024-02-02,Los Angeles,Rotterdam,Air,Textiles,5058.16,285.88,4.44,1.9,Storm,0.654,0.78,0,2024,2,February,1,1,-1.2999095004653354,1.3651446497785036
SC-10103,2024-11-19,Los Angeles,Hamburg,Sea,Textiles,7874.28,166.88,2.31,5.6,Rain,0.644,17.18,0,2024,11,November,4,2,0.231278029126469,0.3370467588736076
SC-10104,2025-02-14,Hamburg,Busan,Rail,Textiles,13659.71,158.45,3.52,8.7,Hurricane,0.813,49.853750000000005,1,2025,2,February,1,3,2.7428158433830276,0.4957534453938655
SC-10105,2024-10-01,Dubai,Marseille,Road,Pharmaceuticals,4114.74,54.21,1.93,8.8,Clear,0.566,3.39,1,2024,10,October,4,2,-0.727024961898426,0.7391586193807065
SC-10106,2024-03-08,Rotterdam,Dubai,Sea,Electronics,6450.55,184.03,2.06,0.7,Clear,0.941,9.61,0,2024,3,March,1,0,-0.7353703080270586,-1.0076471933352251
SC-10107,2024-08-04,Rotterdam,Hamburg,Sea,Automotive,11455.49,50.65,2.89,4.2,Fog,0.914,28.85,0,2024,8,August,3,3,1.1556347315776172,0.10125700669978477
SC-10108,2025-08-03,Dubai,Shanghai,Air,Perishables,3817.57,383.53,2.25,5.8,Hurricane,0.826,3.01,1,2025,8,August,3,0,-1.1001352490193956,-1.1916823872655837
SC-10109,2024-11-18,Shanghai,Marseille,Road,Automotive,1616.21,483.17,1.75,1.5,Rain,0.729,1.59,0,2024,11,November,4,0,-1.7833535920657106,-1.4586808838642789
SC-10110,2024-08-05,Dubai,Singapore,Air,Textiles,4701.4,485.07,2.07,7.7,Fog,0.966,0.82,1,2024,8,August,3,0,-0.9566594704407636,-2.2396153994050394
SC-10111,2025-11-02,Busan,Rotterdam,Air,Textiles,2837.71,432.67,1.32,7.4,Clear,0.915,0.5,1,2025,11,November,4,0,-1.249961218202478,-2.3667401593716506
SC-10112,2025-05-26,Antwerp,Dubai,Road,Pharmaceuticals,13980.62,300.8,3.52,9.0,Clear,0.75,12.52,1,2025,5,May,2,1,1.1726045965447525,0.2540211746422976
SC-10113,2025-02-09,Hamburg,Dubai,Air,Textiles,12217.75,350.73,2.82,0.1,Rain,0.851,0.61,0,2025,2,February,1,0,-0.2546059498221489,-0.6955007804191121
SC-10114,2025-10-20,Antwerp,Dubai,Air,Textiles,9684.35,143.32,1.51,2.2,Clear,0.783,0.7,0,2025,10,October,4,0,-0.43558349603145474,-0.620143513068619
SC-10115,2025-04-14,Singapore,Dubai,Air,Perishables,13136.18,315.75,1.77,8.3,Fog,0.794,0.99,1,2025,4,April,2,0,0.533588670976593,-1.1513179153406419
SC-10116,2024-05-26,Shanghai,Los Angeles,Rail,Automotive,12153.25,228.37,1.54,6.7,Rain,0.665,14.04,1,2024,5,May,2,3,0.8856480883346559,-0.4827828752416824
SC-10117,2024-09-28,Singapore,Hamburg,Sea,Electronics,3205.27,241.53,3.22,8.9,Fog,0.731,9.81,1,2024,9,September,3,1,-0.6894578655446973,0.3013559421962535
SC-10118,2024-05-22,Antwerp,Los Angeles,Sea,Textiles,13442.11,379.13,1.51,0.6,Rain,0.539,24.04,0,2024,5,May,2,4,1.135919986257375,-0.46912551361971283
SC-10119,2024-09-09,Rotterdam,Antwerp,Air,Automotive,8320.46,141.68,3.69,6.0,Fog,0.679,2.04,1,2024,9,September,3,4,-0.3956805929293272,1.2283485039498983
SC-10120,2025-07-28,Singapore,Shanghai,Rail,Perishables,12207.88,159.7,1.27,5.7,Clear,0.848,11.27,0,2025,7,July,3,0,0.6754365046891001,-1.131776476145326
SC-10121,2025-07-05,Singapore,Shanghai,Road,Pharmaceuticals,13493.32,462.4,2.02,0.4,Fog,0.977,12.3,0,2025,7,July,3,0,0.4811445690436908,-2.131207206939463
SC-10122,2024-09-26,Los Angeles,Rotterdam,Road,Electronics,5111.05,29.06,4.14,5.1,Rain,0.982,4.12,1,2024,9,September,3,1,-0.9700720253579658,0.7381023048009951
SC-10123,2025-08-21,Hamburg,Shanghai,Road,Pharmaceuticals,2095.75,243.33,3.57,6.1,Clear,0.778,2.08,1,2025,8,August,3,1,-1.4290659033154574,0.37889642940093327
SC-10124,2025-03-14,Rotterdam,Singapore,Air,Perishables,3805.06,456.49,1.44,1.9,Clear,0.803,0.5,0,2025,3,March,1,0,-1.4507865375334783,-1.8635944065012453
SC-10125,2025-08-20,Hamburg,Los Angeles,Air,Automotive,6693.06,305.57,3.91,2.7,Storm,0.593,1.46,1,2025,8,August,3,1,-0.9148738299535045,1.1715150690764367
SC-10126,2025-02-12,Hamburg,Los Angeles,Sea,Electronics,12361.21,273.66,2.83,6.4,Hurricane,0.848,49.853750000000005,1,2025,2,February,1,3,2.381534968492695,-0.4943935562764599
SC-10127,2025-01-05,Rotterdam,Busan,Sea,Electronics,12980.59,125.62,3.99,4.7,Hurricane,0.535,49.853750000000005,1,2025,1,January,1,3,2.40790546415248,2.0667351634851556
SC-10128,2024-08-12,Singapore,Shanghai,Road,Electronics,600.81,172.29,3.18,8.6,Fog,0.642,0.5,0,2024,8,August,3,2,-1.5168739010062062,0.8663552959820496
SC-10129,2024-05-21,Hamburg,Shanghai,Road,Pharmaceuticals,7905.84,426.17,3.45,3.4,Fog,0.834,8.15,1,2024,5,May,2,4,-0.4237586231389451,-0.5196524959962262
SC-10130,2025-06-05,Los Angeles,Dubai,Road,Electronics,6552.46,280.05,4.48,2.7,Hurricane,0.655,35.77,1,2025,6,June,2,3,0.5409466811382097,1.39170749365556
SC-10131,2025-05-20,Singapore,Hamburg,Air,Automotive,3720.56,257.86,1.97,9.8,Clear,0.525,0.57,0,2025,5,May,2,2,-0.854878155600454,0.19947090535032536
SC-10132,2024-04-03,Dubai,Busan,Road,Perishables,2238.05,50.69,3.26,9.1,Hurricane,0.916,15.06,1,2024,4,April,2,1,-0.6323541476736961,0.2653350714395952
SC-10133,2024-02-18,Busan,Los Angeles,Road,Perishables,5395.42,9.0,2.72,0.3,Rain,0.655,4.29,0,2024,2,February,1,2,-1.1121832342845157,1.1845328540106381
SC-10134,2024-04-22,Shanghai,Rotterdam,Sea,Electronics,14172.19,481.88,1.33,7.7,Fog,0.532,40.3,1,2024,4,April,2,3,2.4616075737021577,-1.0091183599575482
SC-10135,2024-06-05,Los Angeles,Singapore,Rail,Textiles,5186.44,189.12,1.25,1.1,Storm,0.537,10.98,1,2024,6,June,2,2,-0.7257240596118378,0.0036760143421618015
SC-10136,2025-10-04,Antwerp,Rotterdam,Air,Textiles,8022.46,302.0,1.59,0.3,Hurricane,0.626,3.33,1,2025,10,October,4,2,-0.6995112542102644,-0.4916388549590265
SC-10137,2024-06-12,Los Angeles,Marseille,Road,Automotive,10693.77,40.78,3.34,2.7,Rain,0.589,8.41,0,2024,6,June,2,4,0.088040161271512,1.7418225938106193
SC-10138,2025-11-27,Hamburg,Antwerp,Road,Pharmaceuticals,5772.63,341.87,3.07,2.7,Clear,0.887,4.34,1,2025,11,November,4,1,-0.9791192831008145,-0.6871265476644425
SC-10139,2025-03-08,Singapore,Hamburg,Rail,Electronics,14590.84,466.35,3.03,8.2,Rain,0.661,17.28,0,2025,3,March,1,4,1.4538050660568909,-0.3023378690302295
SC-10140,2025-09-02,Antwerp,Dubai,Rail,Automotive,14455.49,288.26,1.31,7.1,Clear,0.902,14.49,1,2025,9,September,3,0,1.2554458377642614,-1.7791517275415865
SC-10141,2024-03-06,Antwerp,Dubai,Sea,Perishables,4150.84,63.93,2.75,9.8,Storm,0.587,25.66,1,2024,3,March,1,2,0.2927845213571625,1.1602068145323146
SC-10142,2025-01-29,Antwerp,Busan,Road,Automotive,7710.1,291.28,4.25,7.1,Fog,0.746,9.27,0,2025,1,January,1,1,-0.15012187373562078,0.8019878174790503
SC-10143,2025-01-25,Dubai,Shanghai,Road,Electronics,4862.74,383.41,2.51,4.2,Rain,0.844,4.8,0,2025,1,January,1,0,-0.9753230469851828,-1.0646938657710112
